seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score
570	0	0.717909664288163	0.1518148	0.6976744	0.717041	0.00040366	6.509216e-05	0.752907	17.85159	17.70014	0.5884277	18.81448	0.007936508	0.003968254	12.92151	0.3197674	-0.985730949854523
571	0	0.746836759499274	0.9597602	0.7994186	0.7601529	0.000420379	0.0002725037	0.7965116	17.92111	17.80144	0.6382698	18.93044	0.02621723	0	11.83721	0.5348837	-1.14172639557992
572	0	0.713288291217759	0.3986208	0.7093023	0.7108154	0.0003727864	0.0001537805	0.7383721	17.71814	17.58205	0.7757199	18.80935	0.004016064	0	13.00872	0.3662791	-0.804778940774512
573	0	0.674151118216105	0.6501791	0.6947674	0.6828923	0.0003881527	5.323293e-05	0.7180233	17.68243	17.60598	0.6129092	18.60734	0.00877193	0	13.36628	0.2674419	-0.768325011673176
574	0	0.677034316747449	0.01822373	0.6075581	0.6736916	0.001100194	0.0004444097	0.7267442	17.69666	17.59409	0.5826004	18.67534	0	0	14.26163	0.1627907	-0.74507493057171
575	0	0.687173571623862	0.3545434	0.6918605	0.6962135	0.0004396426	0.0001216486	0.7267442	17.7642	17.56333	0.6532086	18.62089	0.004255319	0	13.75	0.2848837	-1.00256939038245
576	0	0.72013956180308	0.01875837	0.6395349	0.7197342	0.001236986	0.0005062666	0.7761628	17.82789	17.73919	0.6719154	18.81471	0.01204819	0	12.5	0.3662791	-1.12985670872063
577	0	0.735497314040549	0.8063129	0.7645349	0.7430474	0.0006273308	0.0001872326	0.7877907	18.04958	17.86927	0.6330942	18.98253	0.03088803	0.003861004	12.09593	0.4883721	-1.46132688477853
578	0	0.730188604211435	0.07775891	0.6802326	0.7137745	0.0008107808	0.000224656	0.7587209	17.87922	17.6999	0.7471336	18.75006	0.01276596	0	13.02616	0.3604651	-1.03815673666222
579	0	0.691615399508737	0.9797454	0.7383721	0.6930824	0.000504399	0.000221906	0.7267442	17.66883	17.50417	0.8932544	18.71746	0.01339286	0	14.0843	0.1918605	-0.761271711792782
57	0	0.712482172087766	0.6125857	0.7122093	0.7043544	0.0005693334	0.0001658848	0.7412791	17.81099	17.63744	0.7223106	18.76976	0	0	13.22674	0.2732558	-0.933725738173763
580	0	0.707608933933079	0.9801991	0.7674419	0.7153471	0.0007511061	0.0003589492	0.7587209	17.80165	17.61914	0.7178526	18.75515	0	0	13.35756	0.3488372	-0.875048046592154
581	0	0.735505121177994	0.8798542	0.7616279	0.7313916	0.0004920488	0.0002650281	0.7674419	17.83695	17.72162	0.6587007	18.78451	0.01968504	0	12.39826	0.4360465	-0.812105694160189
582	0	0.700443442421965	0.509247	0.6947674	0.6937704	0.000724364	9.438814e-05	0.7354651	17.8883	17.69044	0.647671	18.7598	0.007968127	0.003984064	12.91279	0.3662791	-0.979822285792141
583	0	0.700514829647727	0.6675712	0.7296512	0.7203361	0.0004653428	0.0001389746	0.752907	17.85566	17.69816	0.731129	18.76809	0.008510638	0	12.80233	0.3372093	-1.03295826789133
584	0	0.682644638745114	0.1579296	0.6424419	0.6696754	0.0009898738	0.0001099871	0.7267442	17.8338	17.68202	0.6572877	18.67139	0.008403361	0	13.48837	0.2732558	-1.06620511403662
585	0	0.656464380421676	0.6947646	0.6627907	0.6463399	0.0006269946	0.0001646621	0.6889535	17.60168	17.52557	0.5950446	18.55918	0	0	14.54651	0.1976744	-0.710064086143026
586	0	0.695599443209358	0.9173416	0.7063953	0.6671406	0.0006690963	5.502255e-05	0.7122093	17.73804	17.55116	0.7489784	18.77329	0.004149378	0	13.48256	0.2034884	-0.742306481057126
587	0	0.693375344760716	0.2520451	0.6715116	0.6835374	0.000760164	0.0001058233	0.7180233	17.59681	17.39274	1.106334	18.64584	0.004464286	0	14.03198	0.1918605	-0.735328609345145
588	0	0.696175469295122	0.7196667	0.7063953	0.6959887	0.0006484214	0.0001101044	0.7354651	17.77931	17.62867	0.6389804	18.67796	0	0	13.20058	0.1976744	-0.936948095462033
589	0	0.65522559278179	0.4205938	0.6686047	0.6725369	0.0008188369	0.0003876127	0.7180233	17.61211	17.54055	0.6959384	18.63803	0.004405286	0	14.10174	0.1395349	-0.569957256767136
58	0	0.730016811774112	0.3496503	0.7151163	0.7203716	0.0006235509	0.0002874759	0.7616279	17.80523	17.7335	0.7216904	18.90646	0.02857143	0.004081633	12.51453	0.3837209	-1.08273977519394
590	0	0.732101607625373	0.6481481	0.744186	0.7394683	0.0005022952	0.000271423	0.7761628	17.88061	17.77321	0.6792255	18.8466	0.0234375	0.00390625	12.50291	0.3895349	-0.974820300053015
591	0	0.70400154797826	0.8166797	0.747093	0.7176931	0.000877127	0.0001196441	0.7587209	17.8899	17.70096	0.6998237	18.69422	0.01204819	0	13.31686	0.3255814	-0.929517105072724
592	0	0.735751283587888	0.6880671	0.747093	0.7348706	0.0006964186	0.0002207573	0.7848837	17.98527	17.77567	0.7154923	18.85367	0.0041841	0	12.23837	0.4302326	-1.0347085847164
593	0	0.676868941704743	0.06342282	0.630814	0.6756795	0.0007240919	0.0004219467	0.7151163	17.66115	17.47047	0.7037914	18.55305	0.004329004	0	14.17733	0.1860465	-0.582175122486675
594	0	0.71368235561531	0.8465978	0.75	0.7039085	0.001096233	0.0001155342	0.7645349	17.85543	17.67716	0.8284567	18.86071	0.02469136	0.004115226	12.47093	0.4186047	-1.10331263287207
595	0	0.715760247875005	0.260448	0.7122093	0.7249439	0.0005085838	9.86268e-05	0.7587209	17.8731	17.71193	0.7024813	18.82382	0.01639344	0	12.875	0.3837209	-0.823602736408023
596	0	0.727103311242536	0.981088	0.7848837	0.7284344	0.0005473276	0.0006800257	0.7703488	17.92276	17.73585	0.7608561	18.84755	0.01606426	0	12.48837	0.4244186	-0.94209517593639
597	0	0.699447882152162	0.6187243	0.7063953	0.6985024	0.0007468825	0.0002419658	0.7383721	17.67746	17.59494	0.5985445	18.64984	0.004405286	0	13.80814	0.2383721	-0.869808659927471
598	0	0.743635885627009	0.1220282	0.7180233	0.745027	0.0005496361	0.0001116391	0.7848837	18.02252	17.8489	0.6120073	18.86874	0.03149606	0	11.98547	0.5406977	-1.27015546893405
599	0	0.741806728858501	0.892234	0.7616279	0.7365134	0.0003787358	0.0001516467	0.7674419	17.86415	17.76563	0.7048464	18.88445	0.015625	0	12.7064	0.4418605	-0.92036623521791
59	0	0.730222532595508	0.09486569	0.6918605	0.7203147	0.0005574333	0.0002565562	0.755814	17.95947	17.78893	0.6363625	18.78297	0.01176471	0	12.29651	0.3953488	-1.10093025306576
5	0	0.67060128049925	0.9122905	0.7122093	0.6757297	0.0007379929	0.0003658888	0.7209302	17.69261	17.55553	0.6066149	18.59449	0	0	13.74709	0.1802326	-0.856609677894514
600	0	0.669972479296848	0.4655866	0.6686047	0.6672794	0.0005951322	0.0001861513	0.7063953	17.73769	17.53253	0.7939834	18.68017	0.004310345	0	14.02035	0.2325581	-0.744585228958517
601	0	0.682926756236702	0.7098516	0.7005814	0.6845286	0.0006681577	0.000203221	0.7238372	17.68463	17.56458	0.7310599	18.65731	0.01276596	0	13.81395	0.1918605	-1.0280378407831
602	0	0.722056276677176	0.7849174	0.752907	0.7358483	0.000390264	0.0001748363	0.7674419	17.89109	17.73491	0.665921	18.78748	0.01140684	0	12.75581	0.4244186	-1.19710772657211
603	0	0.664483751822263	0.2109979	0.6482558	0.6701668	0.0005345358	0.0005008313	0.7034884	17.76258	17.56881	0.6646513	18.48747	0.004444444	0	14.54651	0.1627907	-0.785489417948851
604	0	0.736401793872938	0.3614402	0.7354651	0.7429851	0.0005354095	6.578186e-05	0.7848837	17.93779	17.88319	0.5816178	18.92769	0.03448276	0.003831418	11.68023	0.5232558	-1.34106737740589
605	0	0.689285678556189	0.179794	0.6598837	0.6813731	0.0005575648	0.0002494547	0.7180233	17.78239	17.60335	0.7059912	18.74372	0	0	13.75291	0.255814	-0.725955808913705
606	0	0.657450317172334	0.2826585	0.6453488	0.6608314	0.0008270825	0.0002804036	0.7151163	17.71177	17.51879	0.8365017	18.64142	0.004385965	0	14.31395	0.1686047	-0.485807698856079
607	0	0.651369735458866	0.8688704	0.7034884	0.6577432	0.001005882	0.0007506433	0.7209302	17.58616	17.48814	0.6479361	18.6876	0.004504505	0	14.42151	0.1686047	-0.62967771511424
608	0	0.681839251611382	0.2768654	0.6569767	0.6749004	0.0007960246	8.068678e-05	0.7209302	17.71709	17.53944	0.7996618	18.61317	0.02202643	0	13.75872	0.2209302	-0.932497934937199
609	0	0.70984038694296	0.6355088	0.7180233	0.7065155	0.0005671762	0.0001374118	0.75	17.87524	17.69989	0.710556	18.76755	0.004201681	0	12.875	0.3139535	-0.98453537250402
60	0	0.684992334083654	0.5182335	0.6773256	0.6742168	0.0006543947	6.801238e-05	0.7238372	17.69451	17.51876	0.7887996	18.63224	0.004149378	0	13.75872	0.2674419	-0.916899894572761
610	0	0.650104310526513	0.4397603	0.6424419	0.6442146	0.0007629223	0.0006653489	0.6918605	17.52197	17.36331	0.83635	18.5269	0	0	14.93314	0.09883721	-0.914069088546261
611	0	0.653735238802619	0.4269749	0.6511628	0.6626483	0.0008946392	0.0002427653	0.7238372	17.65087	17.48139	0.6725472	18.58246	0	0	14.59593	0.127907	-0.509604017606698
612	0	0.708102343883365	0.9946494	0.7703488	0.713895	0.0007073472	0.0003070149	0.7587209	17.83712	17.74926	0.5896632	18.85418	0.0204918	0	13.27035	0.3372093	-1.03366217046678
613	0	0.733108903490938	0.5236618	0.7296512	0.7232422	0.0004563242	0.000145555	0.7587209	17.86837	17.74037	0.6967956	18.75384	0.004237288	0	12.45349	0.3662791	-1.23839152228156
614	0	0.74162519632373	0.3400414	0.7354651	0.7445221	0.0005587266	0.0003140994	0.7877907	17.85515	17.74096	0.5483948	18.86603	0.008	0	12.73256	0.4593023	-1.19741749257916
615	0	0.683332170336507	0.3794838	0.6860465	0.6907879	0.0004205175	0.000120702	0.7267442	17.73331	17.58225	0.736644	18.76792	0.00862069	0	13.33721	0.2906977	-0.803909367857606
616	0	0.685676835454069	0.4565145	0.6947674	0.6925824	0.0005580991	0.0001694668	0.7354651	17.79279	17.58658	0.8500195	18.75442	0.00877193	0	13.0436	0.2848837	-0.725519453623816
617	0	0.651114629488438	0.8537961	0.6773256	0.6547285	0.0006236539	6.882119e-05	0.6889535	17.69944	17.52477	0.7132322	18.62301	0.00896861	0	14.35174	0.0872093	-0.747696479548044
618	0	0.745420770836063	0.6385763	0.7645349	0.7517516	0.0005110152	0.0002809445	0.7848837	17.93473	17.75637	0.7661806	18.76707	0.004016064	0	12.01163	0.5639535	-1.15763959008499
619	0	0.722236002562568	0.8450418	0.752907	0.7331163	0.0004011758	9.331868e-05	0.7674419	17.79698	17.67628	0.5576871	18.66328	0.0041841	0	12.78779	0.3023256	-0.977518554165333
61	0	0.709301139670424	0.8027845	0.7354651	0.7036833	0.0007800318	0.0001114834	0.752907	17.89542	17.67702	0.6934431	18.7199	0.004048583	0	13.11628	0.2674419	-0.972867260038568
